User Commands,System Calls,C Library Functions,File Formats,Misc.
curl(1),open(2),popen(3),nsswitch.conf(5),signal(7)
,read(2),exec(3),resolv.conf(5),inotify(7)
,setuid(2),fprintf(3),,kqueue(7)
,setgid(2),getaddrinfo(3),,socket(7)
,fork(2),readdir(3),,environ(7)
,setsid(2),realpath(3),,
,waitpid(2),uname(3),,
,kill(2),dlopen(3),,
,utimes(2),,,
,mknod(2),,,
,chmod(2),,,
,chown(2),,,
,link(2),,,
,unlink(2),,,
,rename(2),,,
,close(2),,,
,fchmod(2),,,
,fchown(2),,,
,fdatasync(2),,,
,fstat(2),,,
,fsync(2),,,
,lchmod(2),,,
,lchown(2),,,
,lstat(2),,,
,mkdir(2),,,
,readlink(2),,,
,rmdir(2),,,
,stat(2),,,
,symlink(2),,,
,truncate(2),,,
,kqueue(2),,,
,pwrite(2),,,
,getegid(2),,,
,geteuid(2),,,
,getgid(2),,,
,getuid(2),,,
,setegid(2),,,
,seteuid(2),,,